Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
home_win,0,0,0,159.0,60.0,101.0,132.0
away_win,0,0,0,50.0,130.0,45.0,76.0
away_win,0,0,0,100.0,119.0,37.0,19.0
away_win,0,7,0,37.0,78.0,142.0,72.0
away_win,4,0,1,112.0,123.0,129.0,101.0
tie,2,4,3,125.0,93.0,136.0,70.0
home_win,0,0,0,64.0,72.0,55.0,76.0
away_win,1,1,0,106.0,131.0,140.0,104.0
away_win,7,11,8,228.0,104.0,123.0,60.0
tie,4,5,6,49.0,98.0,148.0,183.0
home_win,4,1,2,116.0,72.0,70.0,79.0
home_win,0,0,0,64.0,37.0,90.0,74.0
tie,3,13,4,119.0,90.0,122.0,76.0
home_win,0,0,0,34.0,32.0,127.0,101.0
away_win,3,2,3,301.0,180.0,98.0,94.0
home_win,1,0,0,74.0,86.0,36.0,57.0
home_win,1,1,2,49.0,68.0,66.0,80.0
home_win,22,35,16,238.0,100.0,223.0,135.0
home_win,2,0,3,128.0,136.0,111.0,112.0
home_win,1,14,1,60.0,82.0,129.0,66.0
home_win,0,1,0,27.0,38.0,14.0,24.0
away_win,1,3,0,59.0,152.0,80.0,109.0
tie,0,2,1,69.0,61.0,73.0,81.0
tie,36,9,18,153.0,87.0,125.0,123.0
away_win,17,9,4,42.0,16.0,141.0,54.0
home_win,1,0,0,46.0,104.0,12.0,112.0
home_win,1,0,0,81.0,68.0,82.0,64.0
home_win,3,0,0,134.0,90.0,73.0,108.0
away_win,0,0,0,54.0,127.0,83.0,99.0
away_win,2,3,6,109.0,108.0,150.0,101.0
away_win,0,8,4,178.0,98.0,173.0,67.0
home_win,0,0,0,7.0,13.0,3.0,29.0
away_win,0,4,0,22.0,51.0,118.0,89.0
home_win,0,0,0,68.0,33.0,7.0,39.0
away_win,0,0,0,1.0,2.0,7.0,7.0
Error,0,0,0,139.0,69.0,143.0,79.0
tie,8,1,3,122.0,74.0,61.0,84.0
home_win,19,3,7,217.0,139.0,93.0,63.0
away_win,1,2,1,86.0,111.0,94.0,55.0
tie,1,3,3,137.0,90.0,180.0,78.0
home_win,0,0,0,55.0,112.0,0.0,0.0
away_win,0,0,0,25.0,88.0,0.0,0.0
home_win,0,0,1,50.0,52.0,78.0,84.0
home_win,0,1,0,1.0,11.0,15.0,33.0
away_win,2,1,1,169.0,81.0,142.0,75.0
away_win,3,8,1,50.0,25.0,22.0,11.0
home_win,0,0,0,64.0,37.0,67.0,102.0
home_win,0,0,0,72.0,67.0,25.0,75.0
away_win,0,1,2,128.0,109.0,124.0,60.0
home_win,10,5,6,160.0,143.0,65.0,112.0
tie,60,14,15,100.0,83.0,46.0,80.0
away_win,0,1,0,45.0,45.0,163.0,70.0
away_win,0,0,0,6.0,23.0,71.0,62.0
away_win,13,3,3,144.0,97.0,64.0,66.0
home_win,37,9,13,121.0,94.0,116.0,104.0
home_win,1,0,1,94.0,59.0,51.0,92.0
away_win,5,2,2,116.0,142.0,161.0,149.0
home_win,8,1,2,206.0,147.0,140.0,120.0
tie,7,1,2,159.0,67.0,68.0,65.0
tie,1,0,0,45.0,54.0,28.0,132.0
home_win,3,0,1,12.0,18.0,3.0,15.0
tie,0,2,0,141.0,93.0,218.0,104.0
tie,0,0,2,126.0,62.0,149.0,99.0
home_win,11,10,7,50.0,59.0,53.0,43.0
home_win,3,5,4,119.0,85.0,94.0,67.0
tie,8,2,6,119.0,69.0,79.0,89.0
home_win,1,0,0,206.0,90.0,51.0,121.0
away_win,2,3,2,159.0,149.0,147.0,97.0
away_win,0,0,0,115.0,85.0,317.0,113.0
home_win,0,0,0,140.0,99.0,81.0,87.0
